grow_type,geography,level,HHI_Canopy,HHI_MaxSqFt
Mixed_Light,,Parent Company,6346.092852503004,6710.573157707369
Mixed_Light,,Parent Company,1313.8631426786142,1351.9182929532599
Mixed_Light,,Parent Company,2938.5643190865344,2915.351526017629
Mixed_Light,,Parent Company,7082.641718223429,5000.0
Mixed_Light,,Parent Company,4148.817845204657,4135.776759683466
Mixed_Light,,Parent Company,322.4787173361424,307.1741107533157
Mixed_Light,,Parent Company,7235.502647343999,7043.805428648214
Mixed_Light,,Parent Company,1860.128791393397,1792.4122561221961
Outdoor,CA,Overall,113.23503919178256,105.76802757279333
Outdoor,CA,Parent Company,141.94770515673406,132.59004109733004
Outdoor,,Overall,2000.0,2000.0
Outdoor,,Overall,260.85967029163936,237.7605384874886
Outdoor,,Overall,10000.0,10000.0
Outdoor,,Overall,10000.0,10000.0
Outdoor,,Overall,4037.492192294404,5191.928777177583
Outdoor,,Overall,5670.451512894038,4634.75516080054
Outdoor,,Overall,40.860368625738,42.813928235496846
Outdoor,,Overall,8161.836327051823,9002.770083102492
Outdoor,,Overall,10000.0,10000.0
Outdoor,,Overall,9901.346999155598,9906.105375578496
Outdoor,,Overall,504.0237452983613,211.57315787971157
Outdoor,,Overall,363.2876749725299,469.47633484321176
Outdoor,,Overall,60.420739380245465,58.023524469649224
Outdoor,,Overall,2441.1872447916053,2193.689938314285
Outdoor,,Overall,158.1234275032238,181.5303168115491
Outdoor,,Overall,10000.0,10000.0
Outdoor,,Overall,1165.5270976972488,1920.2562180317987
Outdoor,,Overall,10000.0,10000.0
Outdoor,,Overall,10000.0,10000.0
Outdoor,,Overall,10000.0,10000.0
Outdoor,,Overall,1404.9254262935156,1210.3312594338902
Outdoor,,Overall,1283.659043258472,859.5710231583322
Outdoor,,Overall,10000.0,10000.0
Outdoor,,Overall,820.3006630131507,765.6391268637414
Outdoor,,Overall,10000.0,10000.0
Outdoor,,Overall,10000.0,10000.0
Outdoor,,Overall,355.6123387476915,356.55017483953355
Outdoor,,Overall,69.60347729582018,92.55325014081066
Outdoor,,Overall,5555.117718007615,6718.192627824019
Outdoor,,Overall,559.410568896312,509.22487493160014
Outdoor,,Overall,10000.0,10000.0
